kitapcik,soru_no,konu,nihai_konu,not
2024,1,Rasyonel Sayılar,Rasyonel Sayılar,
2024,2,Veri ve İstatistik,Veri ve İstatistik,
2024,3,Üslü Sayılar,Üslü Sayılar,Problemler de olabilir; ağırlıklı adım mandal sayısının üstel artışıdır.
2024,4,Köklü Sayılar,Köklü Sayılar,
2024,5,Rasyonel Sayılar,Rasyonel Sayılar,Temel Kavramlar da olabilir; ağırlıklı adım rasyonel-irrasyonel sayı ayrımıdır.
2024,6,Mutlak Değer,Mutlak Değer,Problemler de olabilir; ağırlıklı adım tahmin ile gerçek değer arasındaki mutlak uzaklıktır.
2024,7,Temel Kavramlar,Temel Kavramlar,
2024,8,Mutlak Değer,Mutlak Değer,
2024,9,Rasyonel Sayılar,Rasyonel Sayılar,Oran-Orantı da olabilir; ağırlıklı adım eşit aralıklı sayı doğrusu/ölçek okumadır.
2024,10,Kümeler,Kümeler,
2024,11,Mantık,Mantık,
2024,12,Fonksiyonlar,Fonksiyonlar,
2024,13,Sayı Basamakları,Sayı Basamakları,Denklem Çözme de olabilir; ağırlıklı adım iki basamaklı sayıların basamak değerleridir.
2024,14,Bölme ve Bölünebilme,Bölme ve Bölünebilme,
2024,15,Sayı Basamakları,Sayı Basamakları,
2024,16,Veri ve İstatistik,Veri ve İstatistik,
2024,17,Problemler,Problemler,
2024,18,Oran-Orantı,Problemler,Problemler de olabilir; ağırlıklı adım basamak yükseklikleri arasındaki orandır.
2024,19,Problemler,Problemler,
2024,20,Problemler,Problemler,
2024,21,Kümeler,Problemler,Problemler de olabilir; ağırlıklı adım doğru cevap kümelerinin kesişimidir.
2024,22,Problemler,Problemler,Denklem Çözme de olabilir; ağırlıklı adım VKİ bağıntısının problem içinde uygulanmasıdır.
2024,23,Veri ve İstatistik,Veri ve İstatistik,
2024,24,Oran-Orantı,Oran-Orantı,
2024,25,Permütasyon-Kombinasyon,Permütasyon-Kombinasyon,
2024,26,Problemler,Problemler,Permütasyon-Kombinasyon da olabilir; ağırlıklı adım iki sıralamayı eşitlemek için en az silme problemidir.
2024,27,EBOB-EKOK,EBOB-EKOK,Oran-Orantı da olabilir; ağırlıklı adım özdeş dikdörtgen fayanslarla kaplamadaki ortak kat yapısıdır.
2024,28,Temel Kavramlar,Temel Kavramlar,Bölme ve Bölünebilme de olabilir; ağırlıklı adım çarpan çiftleri ile toplam koşuludur.
2024,29,Permütasyon-Kombinasyon,Permütasyon-Kombinasyon,
2024,30,Olasılık,Olasılık,
2024,31,Doğruda ve Üçgende Açılar,Doğruda ve Üçgende Açılar,
2024,32,Doğruda ve Üçgende Açılar,Doğruda ve Üçgende Açılar,
2024,33,Dik Üçgen ve Trigonometri,Dik Üçgen ve Trigonometri,
2024,34,Üçgende Alan ve Benzerlik,Üçgende Alan ve Benzerlik,Dik Üçgen ve Trigonometri de olabilir; ağırlıklı adım üçgen alanının 1/2·a·b·sinC bağıntısıdır.
