kitapcik,soru_no,insan_konu,model_konu,insan_notu
2024,5,Rasyonel Sayılar,Temel Kavramlar,Temel Kavramlar da olabilir; ağırlıklı adım rasyonel-irrasyonel sayı ayrımıdır.
2024,6,Mutlak Değer,Problemler,Problemler de olabilir; ağırlıklı adım tahmin ile gerçek değer arasındaki mutlak uzaklıktır.
2024,7,Temel Kavramlar,Problemler,
2024,9,Rasyonel Sayılar,Veri ve İstatistik,Oran-Orantı da olabilir; ağırlıklı adım eşit aralıklı sayı doğrusu/ölçek okumadır.
2024,24,Oran-Orantı,Problemler,
2024,26,Problemler,Veri ve İstatistik,Permütasyon-Kombinasyon da olabilir; ağırlıklı adım iki sıralamayı eşitlemek için en az silme problemidir.
2024,27,EBOB-EKOK,Problemler,Oran-Orantı da olabilir; ağırlıklı adım özdeş dikdörtgen fayanslarla kaplamadaki ortak kat yapısıdır.
2024,35,Üçgende Alan ve Benzerlik,Dik Üçgen ve Trigonometri,Dik Üçgen ve Trigonometri de olabilir; ağırlıklı adım benzer üçgenlerden uzunluk ilişkisidir.
2024,40,Katı Cisimler,Problemler,
2025,15,Sayı Basamakları,Temel Kavramlar,
2025,20,Problemler,Kümeler,"Permütasyon-Kombinasyon da olabilir; seçim sayısı değil, koşulu sağlayan gruplama araştırılır."
2025,27,Problemler,Temel Kavramlar,Temel Kavramlar da olabilir; ağırlıklı adım dönüşümlü numaralandırma örüntüsüdür.
2025,37,Çokgenler ve Dörtgenler,Kümeler,
2026,5,Denklem Çözme,Problemler,
2026,6,Bölme ve Bölünebilme,Temel Kavramlar,Problemler de olabilir; ağırlıklı adım tam sayı çarpan çiftleri.
2026,23,Veri ve İstatistik,Problemler,Problemler de olabilir; ağırlıklı adım dairesel grafik okuma.
2026,26,Bölme ve Bölünebilme,Problemler,Problemler de olabilir; ağırlıklı adım bölüm-kalan.
2026,33,Dik Üçgen ve Trigonometri,Temel Kavramlar,Dik Üçgen ve Trigonometri de olabilir; ağırlıklı adım üçgen alanı.
2026,36,Çokgenler ve Dörtgenler,Dik Üçgen ve Trigonometri,Dik Üçgen ve Trigonometri de olabilir; ağırlıklı adım deltoid özellikleri.
2026,37,Çokgenler ve Dörtgenler,Problemler,
