student_id,son_deneme_neti,ustalik_ortalamasi,sinyal_yogunlugu,sonraki_deneme_neti
0,10.25,0.4087,0.64,13.0
1,12.0,0.5038,0.92,12.0
2,14.0,0.4676,0.67,12.0
3,10.0,0.4301,0.98,7.25
4,10.25,0.3989,0.49,9.25
5,11.0,0.4656,0.65,6.75
6,12.5,0.5377,0.51,13.25
7,6.75,0.3948,0.61,10.5
8,8.5,0.3291,0.96,8.5
9,6.25,0.2967,0.81,5.25
10,14.0,0.3928,0.67,5.0
11,14.75,0.3619,0.86,3.5
12,9.0,0.4483,0.58,14.0
13,12.75,0.5595,0.44,9.5
14,17.5,0.4418,0.42,9.0
15,13.0,0.3217,0.42,8.75
16,9.25,0.4115,0.53,9.25
17,6.25,0.4273,0.7,8.5
18,8.0,0.4644,0.82,13.0
19,6.0,0.407,0.58,9.25
20,14.0,0.5286,0.44,13.25
21,8.25,0.3362,0.43,4.0
22,11.0,0.4876,0.71,12.75
23,11.75,0.5719,0.99,15.25
24,5.5,0.3526,0.81,6.75
25,10.75,0.3796,0.41,7.5
26,10.0,0.4208,0.76,13.5
27,5.75,0.2066,0.94,4.75
28,10.25,0.6033,0.77,15.0
29,4.75,0.3473,0.79,11.75
30,8.25,0.3487,0.98,7.0
31,16.75,0.5308,0.58,14.5
32,14.0,0.5784,0.92,13.75
33,14.25,0.6181,0.7,9.5
34,8.25,0.446,0.58,9.75
35,4.75,0.4685,0.63,11.75
36,9.25,0.3943,0.72,8.5
37,10.5,0.4512,0.4,9.75
38,10.75,0.429,0.75,10.75
39,11.0,0.4566,0.71,9.75
40,15.25,0.6505,0.73,20.25
41,7.75,0.3069,0.54,5.0
42,8.5,0.3771,0.91,12.75
43,18.0,0.4711,0.96,5.0
44,12.0,0.5266,0.8,13.0
45,13.75,0.5341,0.59,16.0
46,8.25,0.3244,0.52,3.25
47,7.5,0.4399,0.41,10.75
48,4.0,0.3266,0.44,7.25
49,10.0,0.384,0.98,9.0
50,9.5,0.3886,0.7,6.5
51,16.0,0.5397,0.72,10.0
52,8.75,0.439,0.58,8.5
53,10.25,0.5021,0.92,12.75
54,10.25,0.4362,0.58,8.5
55,10.5,0.3106,0.92,11.75
56,12.5,0.3737,0.82,11.0
57,12.0,0.4949,0.64,13.75
58,13.25,0.5441,0.61,16.0
59,11.0,0.4267,0.71,9.25
60,12.75,0.4362,0.88,9.0
61,18.25,0.5599,0.82,8.25
62,15.75,0.6941,0.65,17.75
63,8.25,0.3234,0.65,9.0
64,10.0,0.4874,0.96,9.75
65,5.5,0.3998,0.99,13.25
66,14.0,0.4206,0.98,6.5
67,15.5,0.5342,0.65,19.0
68,12.0,0.5663,0.91,15.0
69,9.25,0.2895,0.98,8.25
70,12.5,0.4973,0.75,11.25
71,5.5,0.3762,0.68,11.0
72,13.25,0.5903,0.53,16.0
73,12.5,0.4636,0.98,14.0
74,12.25,0.4455,0.61,6.5
75,10.25,0.3934,0.84,4.75
76,7.25,0.4444,0.92,12.0
77,16.0,0.5305,0.52,13.5
78,14.0,0.5491,0.48,12.0
79,16.0,0.5389,0.87,8.25
80,11.75,0.4917,0.59,9.5
81,3.5,0.292,0.43,8.75
82,10.0,0.4395,0.95,7.25
83,10.0,0.3962,1.0,6.25
84,0.75,0.2221,0.43,2.25
85,9.25,0.617,1.0,14.75
86,8.25,0.4206,0.72,9.5
87,14.25,0.4479,0.98,5.0
88,11.5,0.5519,0.4,12.5
89,12.0,0.4022,0.74,8.0
90,6.75,0.2356,0.64,6.25
91,12.75,0.2932,0.52,5.5
92,6.0,0.2229,0.65,6.25
93,11.75,0.5121,0.93,6.5
94,8.5,0.3237,0.77,9.25
95,8.0,0.3706,0.43,7.75
96,12.0,0.469,0.84,14.0
97,13.0,0.5165,0.55,10.0
98,12.25,0.5152,0.85,12.5
99,6.0,0.316,0.49,9.25
100,7.5,0.421,0.61,9.25
101,9.5,0.3671,0.73,9.25
102,8.0,0.4526,0.91,8.5
103,12.5,0.4227,0.42,8.0
104,9.75,0.4293,0.99,8.5
105,8.0,0.3524,0.55,7.5
106,1.75,0.4768,0.49,16.75
107,8.75,0.2857,0.97,6.75
108,11.75,0.5548,0.87,15.5
109,7.75,0.5067,0.79,13.25
110,9.25,0.4135,0.85,9.75
111,5.25,0.3775,0.67,11.25
112,8.25,0.4345,0.77,12.0
113,3.0,0.2947,0.63,8.5
114,10.0,0.3885,0.91,12.5
115,5.25,0.3419,0.9,8.75
116,9.25,0.333,1.0,7.75
117,8.5,0.3372,0.69,9.75
118,13.75,0.5385,0.55,13.5
119,8.0,0.3064,0.41,6.75
120,19.0,0.6732,0.44,16.0
121,14.25,0.5861,0.72,13.5
122,13.5,0.5591,0.87,17.5
123,12.75,0.6517,0.58,19.0
124,8.0,0.4467,0.45,9.75
125,4.75,0.3603,0.99,6.75
126,15.75,0.4556,0.95,9.0
127,12.25,0.4268,0.59,8.5
128,14.25,0.5707,0.98,15.25
129,10.5,0.4058,0.89,9.75
130,13.5,0.5489,0.85,12.0
131,8.5,0.3792,0.44,11.25
132,12.5,0.5478,0.72,7.5
133,6.0,0.4973,0.8,14.75
134,13.75,0.6463,0.43,14.0
135,9.5,0.4149,0.82,11.75
136,10.75,0.4556,0.5,8.5
137,9.0,0.356,0.64,4.75
138,11.0,0.4468,0.47,8.0
139,6.25,0.3123,0.59,7.0
140,9.0,0.3235,0.79,3.5
141,6.75,0.3278,0.45,11.25
142,6.75,0.3342,0.94,11.0
143,11.75,0.4805,0.85,10.5
144,10.25,0.4368,0.97,11.0
145,7.25,0.4226,0.52,11.75
146,7.0,0.32,0.97,5.75
147,17.0,0.552,0.7,16.25
148,13.75,0.3818,0.43,11.75
149,16.75,0.4746,0.76,9.5
150,10.5,0.4299,0.42,6.0
151,8.75,0.4091,0.99,11.5
152,13.0,0.5731,0.89,15.0
153,5.0,0.32,0.89,6.75
154,7.0,0.3421,0.77,9.5
155,11.75,0.4715,0.51,11.0
156,8.75,0.4538,0.41,10.0
157,14.5,0.518,0.96,8.0
158,12.25,0.4581,0.46,11.5
159,2.75,0.3522,0.79,9.0
160,2.5,0.1379,0.69,8.25
161,7.0,0.4472,0.52,14.75
162,12.5,0.4296,0.68,13.5
163,10.25,0.4513,0.63,9.75
164,11.25,0.4685,0.67,12.25
165,8.25,0.5212,0.59,8.5
166,3.75,0.3508,0.56,8.0
167,13.25,0.48,0.62,13.25
168,10.0,0.5093,0.46,11.75
169,11.0,0.4887,0.5,11.75
170,12.25,0.6241,0.73,16.0
171,12.0,0.3926,0.64,10.0
172,9.25,0.4093,0.97,10.5
173,10.75,0.5897,0.76,15.5
174,4.5,0.4869,0.5,14.0
175,8.25,0.4236,0.48,11.5
176,12.0,0.5158,0.73,11.75
177,13.0,0.4463,0.52,11.25
178,15.25,0.6306,0.56,14.0
179,6.25,0.3736,0.48,6.25
180,7.5,0.4019,0.46,10.0
181,15.25,0.5204,0.47,13.5
182,11.75,0.3729,0.44,6.5
183,3.0,0.3318,0.94,13.0
184,8.25,0.3646,0.48,6.75
185,8.0,0.4206,0.43,8.0
186,11.75,0.6086,0.94,11.75
187,17.25,0.539,0.99,10.0
188,6.0,0.4245,0.73,10.25
189,11.0,0.4179,0.53,11.5
190,11.25,0.5163,0.66,10.0
191,13.25,0.4676,0.79,13.25
192,5.75,0.2601,0.96,9.25
193,8.75,0.4318,0.94,11.5
194,17.25,0.5199,0.43,13.75
195,6.75,0.2923,0.42,5.25
196,9.5,0.4238,0.72,10.5
197,12.0,0.3441,0.86,4.75
198,6.5,0.291,0.51,2.5
199,11.75,0.5437,0.69,10.75
200,13.25,0.4452,0.57,6.25
201,10.5,0.423,0.55,10.25
202,4.0,0.3736,0.74,8.5
203,9.5,0.4395,0.91,11.0
204,14.25,0.3845,0.75,6.75
205,11.0,0.3985,0.43,11.25
206,8.5,0.3579,0.66,11.25
207,10.25,0.456,0.84,10.75
208,6.0,0.3302,0.61,13.25
209,4.75,0.3451,0.62,11.25
210,8.25,0.4721,0.48,10.25
211,12.25,0.4807,0.5,12.0
212,13.0,0.5412,0.51,13.25
213,16.0,0.5102,0.63,12.75
214,13.5,0.5193,0.72,9.0
215,10.0,0.4176,0.66,10.0
216,9.25,0.3399,0.94,12.5
217,13.25,0.4876,0.42,12.0
218,6.0,0.2935,0.85,6.75
219,16.25,0.4333,0.84,5.25
220,9.0,0.3702,0.96,8.75
221,8.75,0.4691,0.53,16.0
222,16.75,0.4948,0.59,15.5
223,5.0,0.3903,0.96,7.25
224,5.5,0.4277,0.96,11.0
225,9.75,0.4168,0.91,10.0
226,8.75,0.4135,0.97,3.5
227,5.25,0.3446,0.48,6.0
228,6.5,0.4029,0.9,8.5
229,7.0,0.3552,0.77,4.5
230,8.75,0.335,0.48,9.0
231,13.5,0.453,0.73,7.75
232,9.0,0.3731,0.65,11.75
233,9.75,0.3095,0.88,8.0
234,6.25,0.3358,0.62,7.5
235,12.25,0.5134,0.51,16.0
236,4.0,0.5218,0.81,15.5
237,11.0,0.6217,0.45,18.25
238,13.75,0.4096,0.87,15.0
239,16.5,0.459,0.62,8.75
240,5.5,0.4122,0.88,9.5
241,2.5,0.2916,0.9,7.75
242,9.5,0.3914,0.47,5.75
243,11.0,0.4516,0.76,8.0
244,9.25,0.3688,0.74,8.25
245,10.25,0.4788,0.78,13.75
246,18.25,0.5778,0.56,13.75
247,5.0,0.2675,0.74,3.25
248,13.75,0.4942,0.49,11.75
249,10.25,0.448,0.77,13.75
250,9.0,0.5246,0.6,17.0
251,10.0,0.4824,0.49,6.75
252,4.25,0.4136,0.82,11.25
253,9.5,0.6136,0.95,13.25
254,10.5,0.4606,0.79,7.75
255,8.25,0.3289,0.83,7.25
256,9.5,0.3446,0.87,5.75
257,8.0,0.4742,0.62,12.0
258,8.5,0.3477,0.94,7.0
